MIDI Note,Octave,Note
0,0,C
1,0,C#
2,0,D
3,0,D#
4,0,E
5,0,F
6,0,F#
7,0,G
8,0,G#
9,0,A
10,0,A#
11,0,B
12,1,C
13,1,C#
14,1,D
15,1,D#
16,1,E
17,1,F
18,1,F#
19,1,G
20,1,G#
21,1,A
22,1,A#
23,1,B
24,2,C
25,2,C#
26,2,D
27,2,D#
28,2,E
29,2,F
30,2,F#
31,2,G
32,2,G#
33,2,A
34,2,A#
35,2,B
36,3,C
37,3,C#
38,3,D
39,3,D#
40,3,E
41,3,F
42,3,F#
43,3,G
44,3,G#
45,3,A
46,3,A#
47,3,B
48,4,C
49,4,C#
50,4,D
51,4,D#
52,4,E
53,4,F
54,4,F#
55,4,G
56,4,G#
57,4,A
58,4,A#
59,4,B
60,5,C
61,5,C#
62,5,D
63,5,D#
64,5,E
65,5,F
66,5,F#
67,5,G
68,5,G#
69,5,A
70,5,A#
71,5,B
72,6,C
73,6,C#
74,6,D
75,6,D#
76,6,E
77,6,F
78,6,F#
79,6,G
80,6,G#
81,6,A
82,6,A#
83,6,B
84,7,C
85,7,C#
86,7,D
87,7,D#
88,7,E
89,7,F
90,7,F#
91,7,G
92,7,G#
93,7,A
94,7,A#
95,7,B
96,8,C
97,8,C#
98,8,D
99,8,D#
100,8,E
101,8,F
102,8,F#
103,8,G
104,8,G#
105,8,A
106,8,A#
107,8,B
108,9,C
109,9,C#
110,9,D
111,9,D#
112,9,E
113,9,F
114,9,F#
115,9,G
116,9,G#
117,9,A
118,9,A#
119,9,B
120,10,C
121,10,C#
122,10,D
123,10,D#
124,10,E
125,10,F
126,10,F#
127,10,G