song_title,artist,album,data_name,spotify_id
Copland: Fanfare For The Common Man,Erich Kunzel: Cincinnati Pops Orch...,Copland: The Music Of America,AaronCopland_FanfareForTheCommonMan,3T9HSgS5jBFdXIBPav51gj
Another Lonely Day,Ben Harper,Fight for Your Mind,BenHarper_AnotherLonelyDayAcoustic,6R4pk0zpkyS7KWRXOQkTa2
Migration,Bonobo,Migration,Bonobo_Migration,61g7oQKm8DFEL7r2g9LS8x
Spectrum of the Sky,Break of Reality,Spectrum of the Sky,BreakOfReality_SpectrumOfTheSky,7ANUnRGZJNP4FBKQsacKk6
Blessed,Brett Dennen,Brett Dennen,BrettDennen_Blessed,6XKlF0022zVma4DZsWHFkb
Desert Sunrise,Brett Dennen,Brett Dennen,BrettDennen_DesertSunrise,2y0WJFYbr9vJPcNmbRIT2q
She's Mine,Brett Dennen,So Much More,BrettDennen_She'sMine,5MnmTKjatNTY3BJ2DURVjE
Oclupaca,Duke Ellington & His Orchestra,Latin American Suite,DukeEllington_Oclupaca,6lAOWn4Ig3KQZhL0jwMadt
The Ecstasy of Gold,Ennio Morricone,"The Good, The Bad & The Ugly",EnnioMorricone_TheEcstasyOfGold,6PrKZUXJPmBiobMN44yR8Y
"Theme from The Good, The Bad and The Ugly",Ennio Morricone,"The Good, The Bad & The Ugly","EnnioMorricone_ThemeFromTheGood,TheBad&TheUgly",1JSIWsJfxOji0FrxFcxdCK
Dog Days Are Over,Florence + The Machine,Lungs,Florence+TheMachine_DogDaysAreOver,1YLJVmuzeM2YSUkCCaTNUB
Fingerprints,Hiatus Kaiyote,Choose Your Weapon,HiatusKaiyote_Fingerprints,3c7N2fCFB4JVKGF8cWfteh
Molasses,Hiatus Kaiyote,Choose Your Weapon,HiatusKaiyote_Molasses,2m6knc5tEfzVYwGY6GlCPm
Castles Made Of Sand,Jimi Hendrix,Experience Hendrix,JimiHendrix_CastlesMadeOfSand,3qebSLgUwaEqbwCM5sj5Kh
Little Wing,Jimi Hendrix,Experience Hendrix,JimiHendrix_LittleWing,1Eolhana7nKHYpcYpdVcT5
Villanova Junction,Jimi Hendrix,Jimi Hendrix: Woodstock,JimiHendrix_VillanovaJunction,1mUdz4B6Y9BvbXesl74Cqj
Central Park West,John Coltrane,The Best of John Coltrane [Atlantic],JohnColtrane_CentralParkWest,3m0pro98is58H4UJfDo7ZE
Giant Steps,John Coltrane,The Best of John Coltrane [Atlantic],JohnColtrane_GiantSteps,47vmcuvMWFIsMaiHFIGSIu
In a Sentimental Mood,John Coltrane,My Valentine,JohnColtrane_InASentimentalMood,0E8q2Fx2XuzXCO2NSAppkR
My Favorite Things,John Coltrane,The Best of John Coltrane [Atlantic],JohnColtrane_MyFavoriteThings,2JOEPbuwVf0nafGnMSVEhH
Be Alright,The Foreign Exchange,Connected,LittleBrother_BeAlright,2Jmnl8AWu3d2WdX1Mz45TI
Blueberry hill,Louis Armstrong,"Hello, Dolly!",LouisArmstrong_BlueberryHill,2LSW1nlRZCHA6rZayezAUF
What a Wonderful World,Louis Armstrong,What a Wonderful World,LouisArmstrong_WhatAWonderfulWorld,29U7stRjqHU6rMiS8BfaI9
Daylight,Matt and Kim,Green Label Sound,Matt&Kim_Daylight,57i3M29DWoo7RDk0Tf0LZG
Animal,Miike Snow,Miike Snow,MiikeSnow_Animal,1uxdxSC2bfUFYVqxvejVC3
Black & Blue,Miike Snow,Miike Snow,MiikeSnow_Black&Blue,2cOCunrzyHVpTrTwSIKRbt
Burial,Miike Snow,Miike Snow,MiikeSnow_Burial,3hAISHuncayUMztDDvkwmS
Song for No One,Miike Snow,Miike Snow,MiikeSnow_SongForNoOne,15JHH5FBawCL7DmCcUxlUp
Victory Dance,My Morning Jacket,Circuital,MyMorningJacket_VictoryDance,7A1nHkdEfQ80u0L4bb8ecJ
Homebody,Nai Palm,NeedlePaw,NaiPalm_Homebody,2vmGgEn95r2rNAzN5v3h4X
Molasses,Nai Palm,NeedlePaw,NaiPalm_Molasses,2uXJcENP8l37SWwyjr0SGj
SevenNationArmy,TheWhiteStripes,Elephant,WhiteStripes_SevenNationArmy,7i6r9KotUPQg3ozKKgEPIN